ARO,Cluster#,ARG Name,ARG Family,Drug class
3004493,1,ADC-68,ADC beta-lactamase with carbapenemase activity,carbapenem
3003855,1,ADC-10,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004617,1,ADC-30,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004618,1,ADC-58,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004615,1,ADC-11,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004619,1,ADC-59,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004620,1,ADC-60,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003848,1,ADC-2,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004633,1,ADC-67,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004634,1,ADC-73,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003847,1,ADC-1,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003849,1,ADC-3,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003850,1,ADC-4,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003852,1,ADC-6,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003853,1,ADC-7,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003851,1,ADC-5,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003856,1,ADC-12,ADC beta-lactamase without carbapenemase activity,cephalosporin
3004632,1,ADC-62,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003870,1,ADC-31,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003871,1,ADC-39,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003862,1,ADC-18,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003863,1,ADC-19,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003864,1,ADC-20,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003865,1,ADC-21,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003866,1,ADC-22,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003867,1,ADC-23,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003868,1,ADC-25,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003857,1,ADC-13,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003858,1,ADC-14,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003859,1,ADC-15,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003861,1,ADC-17,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003860,1,ADC-16,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003872,1,ADC-41,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003873,1,ADC-42,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003874,1,ADC-43,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003876,1,ADC-44,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003878,1,ADC-56,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003879,1,ADC-61,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003880,1,ADC-74,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003881,1,ADC-75,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003882,1,ADC-76,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003883,1,ADC-77,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003884,1,ADC-78,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003885,1,ADC-79,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003887,1,ADC-81,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003888,1,ADC-82,ADC beta-lactamase without carbapenemase activity,cephalosporin
3005037,1,ADC-159,ADC beta-lactamase without carbapenemase activity,cephalosporin
3005244,1,ADC-181,ADC beta-lactamase without carbapenemase activity,cephalosporin
3005245,1,ADC-182,ADC beta-lactamase without carbapenemase activity,cephalosporin
3005246,1,ADC-183,ADC beta-lactamase without carbapenemase activity,cephalosporin
3003886,1,ADC-80,ADC beta-lactamase without carbapenemase activity,cephalosporin
3006357,1,ADC-188,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006330,1,ADC-156,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006358,1,ADC-189,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006331,1,ADC-157,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006359,1,ADC-190,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006332,1,ADC-158,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006333,1,ADC-160,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006360,1,ADC-191,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006361,1,ADC-192,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006362,1,ADC-193,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006334,1,ADC-162,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006335,1,ADC-163,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006336,1,ADC-164,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006337,1,ADC-165,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006364,1,ADC-195,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006338,1,ADC-166,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006365,1,ADC-196,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006366,1,ADC-197,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
