#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
3002999	1	891	554	846	94.9495	93.1134	39.7	255
3002867	1	495	3	320	64.6465	0.909091	39.8	255
3002244	1	897	1	150	16.7224	0.167224	39.8	1
3000988	1	861	1	150	17.4216	0.174216	40	1
3001711	1	825	119	765	92.7273	21.6352	39.8	52
3002012	1	1149	3	299	26.0226	0.389904	39.2	0
3001832	1	1146	2	172	15.0087	0.26178	39.8	255
3002372	1	900	10	565	62.7778	1.66667	39.9	3
3001794	1	795	2	150	18.8679	0.377358	39.5	255
3001800	1	828	122	423	51.087	22.0604	39.6	0.967
3003109	1	1476	7825	1429	96.8157	793.566	39.7	255
3002804	1	426	10	345	80.9859	3.51408	40	255
3002528	1	465	63	432	92.9032	20.2452	39.8	255
3002413	1	876	2	300	34.2466	0.342466	39.9	1
3003550	1	1467	249	1439	98.0913	25.3797	39.7	255
3002125	1	1146	3	302	26.3525	0.39267	40	1
3002188	1	1152	114	669	58.0729	14.8281	39.7	19.1
3002762	1	645	2	294	45.5814	0.455814	40	0.5
3001502	1	801	75	669	83.5206	13.9925	39.7	1.11
3002795	1	657	350	619	94.2161	79.6134	39.7	0.957
3002546	1	555	253	468	84.3243	68.3712	39.7	5.02
3002083	1	1146	6	392	34.2059	0.78534	39.9	6
3002350	1	864	2	289	33.4491	0.334491	40	1.5
3002620	1	780	373	683	87.5641	71.6615	39.7	1.63
3002778	1	645	1	150	23.2558	0.232558	36.8	1
3001429	1	801	6	426	53.1835	1.1236	39.4	1
3000916	1	861	1	150	17.4216	0.174216	40	1
3002157	1	1149	28	692	60.2263	3.64143	39.3	0.679
3002366	1	927	7	507	54.6926	1.13269	38.8	0.571
3000508	1	825	34	581	70.4242	6.18182	39.8	255
3002092	1	1146	2	300	26.178	0.26178	40	1
3002067	1	1146	1	150	13.089	0.13089	39.8	1
3002059	1	1146	4	354	30.8901	0.52356	39.8	1
3002753	1	645	1	150	23.2558	0.232558	40	1
3002681	1	630	3	182	28.8889	0.709524	40	255
3000912	1	861	1	150	17.4216	0.174216	40	1
3002375	1	900	1	150	16.6667	0.166667	40	1
3003012	1	498	2	300	60.241	0.60241	40	1
3002604	1	789	52	741	93.9163	9.88593	39.8	237
3000796	1	3114	647	3053	98.0411	31.1477	39.7	255
3001057	1	861	1	150	17.4216	0.174216	40	1
3002853	1	453	2	252	55.6291	0.662252	40	255
3002020	1	1149	2	173	15.0566	0.261097	39.9	0
3002595	1	543	3	209	38.4899	0.828729	39.6	255
3003103	1	765	59	654	85.4902	11.5608	39.8	12.4
3002612	1	792	159	703	88.7626	30.072	39.6	0.969
3002676	1	633	668	531	83.8863	158.153	39.7	255
3000830	1	1374	262	1297	94.3959	28.5451	39.8	255
3000777	1	3180	7	503	15.8176	0.330189	39.8	255
3003017	1	498	34	450	90.3614	10.241	39.3	60.8
3000572	1	1287	4	202	15.6954	0.4662	38.2	255
3000173	1	1218	8607	1188	97.5369	1058.41	39.7	255
3002050	1	1146	1	150	13.089	0.13089	39.4	1
3003209	1	420	1	150	35.7143	0.357143	39.5	255
3002921	1	663	1	150	22.6244	0.226244	39	255
3003002	1	966	268	759	78.5714	41.4441	39.8	0.955
3002036	1	1146	1	150	13.089	0.13089	39.5	1
3002343	1	864	18	491	56.8287	3.11458	39.9	0.944
3001778	1	798	1	150	18.797	0.18797	40	1
3001407	1	795	27	406	51.0692	5.09434	39.7	11.3
3001814	1	798	77	689	86.3409	14.411	39.7	25.1
3000983	1	861	1	150	17.4216	0.174216	39.9	1
3002341	1	864	15	406	46.9907	2.60417	39.6	1
3002600	1	1005	24	201	20	3.58209	39.6	1
3001383	1	861	5	451	52.381	0.87108	38.1	1
3001416	1	828	90	675	81.5217	16.279	39.5	1.31
3002112	1	1146	8	465	40.5759	1.04712	39.1	192
3002332	1	864	18	468	54.1667	3.125	39.7	1
3002168	1	1146	3	436	38.0454	0.380454	39.8	0.667
3003094	1	765	34	570	74.5098	6.66667	39.6	31.2
3001784	1	798	7	412	51.6291	1.31579	39.9	1
3001840	1	1146	3	204	17.801	0.39267	40	6
3001404	1	825	54	741	89.8182	9.81576	39.6	3.78
3002695	1	1260	538	1096	86.9841	63.9611	39.7	4.61
3001024	1	861	3	150	17.4216	0.522648	40	1
3002078	1	1146	4	354	30.8901	0.52356	39.9	1
3002856	1	558	2	279	50	0.537634	40	255
3003206	1	804	2	295	36.6915	0.366915	38.6	3
3002727	1	681	1	150	22.0264	0.220264	39.8	6
3003097	1	996	38	735	73.7952	5.6988	39.8	255
3002019	1	1149	5	181	15.7528	0.652742	39.6	0.4
3002751	1	645	1	150	23.2558	0.232558	40	1
3002376	1	900	3	151	16.7778	0.5	40	1
3003095	1	768	14	319	41.5365	2.73438	39.9	3.93
3002071	1	1146	2	151	13.1763	0.26178	39.9	1
3002098	1	1146	1	137	11.9546	0.119546	40	0
3002641	1	816	303	780	95.5882	55.2304	39.7	255
3003005	1	966	234	852	88.1988	36.205	39.8	4.46
3001804	1	798	4	365	45.7393	0.75188	40	1
3002583	1	402	4	294	73.1343	1.49254	39.9	0.75
3001384	1	861	3	203	23.5772	0.522648	39.9	1
3001090	1	861	2	149	17.3055	0.346109	39.9	0
3002129	1	1146	4	362	31.5881	0.512216	40	0.75
3001041	1	861	1	150	17.4216	0.174216	40	1
3002609	1	900	2	150	16.6667	0.333333	40	255
3000805	1	1419	3	221	15.5743	0.317125	39.4	255
3002346	1	864	3	150	17.3611	0.520833	40	1
3003553	1	1149	101	1061	92.3412	13.1819	39.7	253
3002390	1	876	7	206	23.516	1.19863	38.9	6
3002062	1	1146	3	450	39.267	0.39267	38	1
3003067	1	1404	9	314	22.3647	0.961538	39.9	255
3001425	1	831	2	300	36.1011	0.361011	39.9	1
3003155	1	873	2	299	34.2497	0.342497	39.7	0.5
3002409	1	867	7	366	42.2145	1.21107	39.7	146
3002757	1	645	1	150	23.2558	0.232558	40	1
3002096	1	1146	7	223	19.459	0.91623	39.9	1
3002252	1	897	1	150	16.7224	0.167224	40	1
3002169	1	1146	4	450	39.267	0.52356	39.9	1
3001216	1	1209	321	1197	99.0074	39.8164	39.7	255
3002837	1	495	4	303	61.2121	1.20808	39.9	255
3001391	1	861	1	150	17.4216	0.174216	40	1
3002790	1	657	2	196	29.8326	0.456621	40	1
3002774	1	645	1	150	23.2558	0.232558	40	1
3001797	1	801	17	613	76.5293	3.09613	39.8	0.529
3000792	1	1248	102	1177	94.3109	12.2468	39.7	255
3002783	1	645	1	150	23.2558	0.232558	40	1
3000413	1	792	1	150	18.9394	0.189394	39.9	255
3002181	1	1146	5	247	21.5532	0.65445	40	1
3001788	1	798	10	659	82.5815	1.86341	39.2	11.1
3002720	1	681	4	210	30.837	0.881057	39.9	1
3001864	1	876	2	150	17.1233	0.342466	39.2	1
3000874	1	861	1	150	17.4216	0.174216	39.9	1
3002162	1	1149	25	622	54.134	3.255	39.8	0.72
3002147	1	1140	1	150	13.1579	0.131579	40	255
3001373	1	861	1	150	17.4216	0.174216	40	1
3002591	1	519	41	404	77.842	11.8131	39.5	0.976
3002680	1	633	147	513	81.0427	34.7994	39.7	255
3002801	1	657	44	484	73.6682	10.0457	39.8	3.95
3002314	1	882	1	150	17.0068	0.170068	39.3	1
3001408	1	801	11	493	61.5481	2.05993	40	1
3001892	1	876	7	206	23.516	1.19863	39.7	77.1
3001937	1	876	1	150	17.1233	0.171233	39.9	1
3002242	1	915	2	300	32.7869	0.327869	39.8	1
3001399	1	831	4	228	27.4368	0.722022	39.8	1
3000990	1	861	2	202	23.4611	0.348432	39.9	1
3002533	1	861	3	233	27.0616	0.522648	39.8	255
3002338	1	864	21	550	63.6574	3.62963	40	0.905
3002336	1	864	2	150	17.3611	0.347222	40	1
3000166	1	1206	57	1165	96.6003	7.08872	39.7	255
3000182	1	1176	16	734	62.415	2.04082	39.4	255
3003071	1	900	1061	882	98	176.547	39.8	255
3002698	1	1230	5	600	48.7805	0.609756	39	255
3002364	1	927	26	529	57.0658	4.20712	39.7	0.846
3000951	1	861	1	150	17.4216	0.174216	40	1
3000194	1	1920	864	1883	98.0729	67.274	38.5	187
3002732	1	681	1	150	22.0264	0.220264	40	1
3001662	1	843	5	372	44.1281	0.88968	39.7	1
3002617	1	792	545	625	78.9141	103.189	39.7	0.994
3000180	1	1263	1	150	11.8765	0.118765	39.9	255
3002155	1	1149	23	618	53.7859	2.98607	39.7	11.8
3003105	1	489	9	225	46.0123	2.76074	39.8	255
