ARO Accession,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name
3002999,CblA-1,CblA-1,ACT97415.1,GQ343019.1,CblA beta-lactamase,cephalosporin,antibiotic inactivation,CblA-1
3001109,SHV-52,SHV-52,AEJ08681.1,HQ845196.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-52
3002867,dfrF,dfrF,AAD01868.1,AF028812.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrF
3001989,CTX-M-130,CTX-M-130,AFJ59957.1,JX017365.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-130
3002356,NDM-6,NDM-6,AEX08599.1,JN967644.1,NDM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,NDM-6
3001855,ACT-35,ACT-35,BAP68758.1,LC004922.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-35
3002244,CARB-5,CARB-5,AAF61417.1,AF135373.1,CARB beta-lactamase,penam,antibiotic inactivation,CARB-5
3000600,Erm(34),Erm(34),AAP74657.1,AY234334.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Erm(34)
3000988,TEM-126,TEM-126,AAT45742.1,AY628199.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-126
3002511,LRA-12,LRA-12,ACH58990.1,EU408351.1,subclass B3 LRA beta-lactamase,cephalosporin;penam,antibiotic inactivation,LRA-12
3000938,TEM-72,TEM-72,AAF19151.1,AF157553.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-72
3000928,TEM-59,TEM-59,AAD45935.1,AF062386.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-59
3002320,KPC-10,KPC-10,ACS35345.1,GQ140348.1,KPC beta-lactamase,carbapenem;cephalosporin;monobactam;penam,antibiotic inactivation,KPC-10
3001711,OXA-212,OXA-212,AEV91551.1,JN861780.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-212
3002193,IMP-2,IMP-2,CAB94707.1,AJ243491.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-2
