#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
3002999	1	891	30	840	94.2761	5.05051	39.7	255
3001109	1	861	12	379	44.0186	2.08595	38.6	255
3001989	1	876	4	207	23.6301	0.684932	37.5	255
3001855	1	1146	4	401	34.9913	0.52356	39.6	255
3000988	1	861	35	628	72.9384	6.09524	39.1	255
3000938	1	861	35	628	72.9384	6.09524	39.1	255
3000928	1	831	35	607	73.0445	6.26474	39.1	255
3002320	1	882	96	860	97.5057	16.2971	39.4	250
3001711	1	825	935	750	90.9091	169.87	39.3	247
3002012	1	1149	253	1050	91.3838	32.9547	39.4	255
3001832	1	1146	15	1066	93.0192	1.96335	39.8	255
3001980	1	876	4	207	23.6301	0.684932	37.5	255
3002372	1	900	20	850	94.4444	3.32444	39.8	255
3001794	1	795	16	542	68.1761	3.01887	38.1	255
3001800	1	828	782	705	85.1449	141.43	39.5	243
3003163	1	876	140	635	72.4886	23.9726	39.5	255
3002146	1	1140	2	203	17.807	0.263158	30	255
3003109	1	1476	653	1371	92.8862	66.1118	39.5	255
3002415	1	876	20	417	47.6027	3.42466	39.8	255
3002804	1	426	4	157	36.8545	1.4061	39.6	255
3002528	1	465	36	394	84.7312	11.5806	39.8	255
3002771	1	681	109	476	69.8972	24.0088	39.6	255
3002413	1	876	20	417	47.6027	3.42466	39.8	204
3003550	1	1467	18	731	49.8296	1.84049	39.7	255
3002125	1	1146	76	920	80.2792	9.94764	39	248
3002188	1	1152	125	1074	93.2292	16.2326	39.6	219
3000904	1	861	35	628	72.9384	6.09524	39.1	255
3000879	1	783	31	417	53.2567	5.93614	39	255
3001082	1	861	12	379	44.0186	2.08595	38.6	255
3002762	1	645	107	476	73.7984	24.8837	39.6	250
3001502	1	801	263	751	93.7578	49.1448	39.4	245
3002795	1	657	128	622	94.6728	29.1537	39.1	148
3002053	1	1146	88	920	80.2792	11.5175	39	255
3002546	1	555	553	428	77.1171	149.252	39.5	206
3002083	1	1146	48	734	64.0489	6.28185	38.7	203
3002350	1	864	335	830	96.0648	57.9977	39.4	255
3001099	1	861	12	379	44.0186	2.08595	38.6	255
3000996	1	861	35	628	72.9384	6.09524	39.1	255
3002620	1	780	1442	672	86.1538	277.081	39.5	227
3002778	1	645	109	476	73.7984	25.3488	39.6	255
3001100	1	861	12	379	44.0186	2.08595	38.6	255
3001429	1	801	261	751	93.7578	48.8052	39.4	253
3001076	1	861	12	379	44.0186	2.08595	38.6	255
3001133	1	861	12	379	44.0186	2.08595	38.6	213
3000916	1	861	35	628	72.9384	6.09524	39.1	255
3000887	1	861	35	628	72.9384	6.09524	39.1	255
3001849	1	1146	19	1066	93.0192	2.48517	39.8	255
3002157	1	1149	242	1104	96.0836	31.5674	39.3	237
3000965	1	861	35	628	72.9384	6.09524	39.1	255
3000979	1	861	35	628	72.9384	6.09524	39.1	255
3002066	1	1146	88	920	80.2792	11.5175	39	255
3000508	1	825	2	151	18.303	0.345455	40	255
3001904	1	876	140	635	72.4886	23.9726	39.5	255
3001154	1	861	12	379	44.0186	2.08595	38.6	255
3002092	1	1146	72	920	80.2792	9.42408	38.9	255
3002067	1	1146	82	920	80.2792	10.733	39	255
3002059	1	1146	74	920	80.2792	9.68586	38.9	255
3002753	1	645	90	243	37.6744	20.9302	39.7	255
3000972	1	861	35	628	72.9384	6.09524	39.1	255
3001071	1	861	12	379	44.0186	2.08595	38.6	255
3002681	1	630	2	300	47.619	0.47619	40	255
3000912	1	861	35	628	72.9384	6.09524	39.1	255
3002375	1	900	20	850	94.4444	3.32444	39.8	242
3003012	1	498	6	368	73.8956	1.77711	39.8	255
3000954	1	861	35	628	72.9384	6.09524	39.1	255
3002733	1	681	109	476	69.8972	24.0088	39.6	255
3002604	1	789	58	741	93.9163	11.0266	39.5	191
3000796	1	3114	72	2381	76.4611	3.43224	39.3	255
3001119	1	861	12	379	44.0186	2.08595	38.6	255
3001364	1	861	12	379	44.0186	2.08595	38.6	255
3001045	1	861	35	628	72.9384	6.09524	39.1	255
3001972	1	876	4	207	23.6301	0.684932	37.5	255
3001912	1	876	4	207	23.6301	0.684932	37.5	255
3001057	1	861	35	628	72.9384	6.09524	39.1	255
3002020	1	1149	252	1108	96.4317	32.7493	39.4	249
3002724	1	681	109	476	69.8972	24.0088	39.6	255
3002595	1	543	2	213	39.2265	0.552486	40	255
3003103	1	765	138	727	95.0327	27.0105	39.1	218
3001144	1	861	12	379	44.0186	2.08595	38.6	255
3002612	1	792	1338	672	84.8485	253.215	39.6	245
3002676	1	633	116	583	92.1011	27.3523	39.6	255
3000830	1	1374	32	821	59.7525	3.49345	38.9	255
3000777	1	3180	2	195	6.13208	0.0943396	39.3	255
3001055	1	861	35	628	72.9384	6.09524	39.1	255
3003017	1	498	6	369	74.0964	1.78514	39.8	4
3001112	1	861	12	379	44.0186	2.08595	38.6	255
3002318	1	882	96	860	97.5057	16.2971	39.4	250
3000572	1	1287	2	205	15.9285	0.2331	39.9	255
3000173	1	1218	332	1109	91.0509	40.8144	39.4	255
3002050	1	1146	80	920	80.2792	10.4712	39	255
3000944	1	861	35	628	72.9384	6.09524	39.1	255
3003002	1	966	26	574	59.4203	4.03623	39.9	255
3001886	1	876	4	207	23.6301	0.684932	37.5	255
3002036	1	1146	88	920	80.2792	11.5175	39	255
3002150	1	1140	2	203	17.807	0.263158	30	255
3002343	1	864	335	830	96.0648	57.9977	39.4	241
3001778	1	798	2	150	18.797	0.37594	39.7	255
3001407	1	795	70	760	95.5975	13.1799	39.4	208
3001141	1	861	12	379	44.0186	2.08595	38.6	255
3001881	1	876	4	207	23.6301	0.684932	37.5	255
3001814	1	798	2	150	18.797	0.37594	39.7	255
3001900	1	876	4	207	23.6301	0.684932	37.5	255
3000983	1	861	35	628	72.9384	6.09524	39.1	255
3001116	1	861	12	379	44.0186	2.08595	38.6	213
3001919	1	876	140	635	72.4886	23.9726	39.5	255
3001918	1	876	4	205	23.4018	0.684932	29.7	255
3001002	1	861	35	628	72.9384	6.09524	39.1	255
3001150	1	861	12	379	44.0186	2.08595	38.6	255
3002403	1	873	6	212	24.2841	1.03093	39.9	255
3002341	1	864	335	830	96.0648	57.9977	39.4	253
3002117	1	1146	76	920	80.2792	9.94764	39	255
3002600	1	1005	553	428	42.5871	82.4229	39.5	247
3001093	1	861	12	379	44.0186	2.08595	38.6	255
3001383	1	861	35	628	72.9384	6.09524	39.1	255
3001416	1	828	600	464	56.0386	108.663	39.6	255
3001168	1	861	12	379	44.0186	2.08595	38.6	255
3002459	1	861	8	222	25.784	1.39373	38.1	255
3000959	1	861	35	628	72.9384	6.09524	39.1	255
3002112	1	1146	48	713	62.2164	6.28185	38.7	255
3002332	1	864	335	830	96.0648	57.9977	39.4	249
3002168	1	1146	20	842	73.4729	2.6082	39.6	230
3001948	1	876	140	635	72.4886	23.9726	39.5	255
3003094	1	765	143	637	83.268	27.9425	39.1	228
3002468	1	861	8	222	25.784	1.39373	38.1	255
3002797	1	657	63	588	89.4977	14.3501	39.7	255
3001784	1	798	2	150	18.797	0.37594	39.7	255
3001840	1	1146	4	401	34.9913	0.52356	39.6	255
3001181	1	861	12	379	44.0186	2.08595	38.6	255
3001850	1	1146	4	401	34.9913	0.52356	39.6	255
3001191	1	858	12	379	44.1725	2.09324	38.6	255
3001404	1	825	8	568	68.8485	1.45455	39.2	2.25
3001347	1	861	12	379	44.0186	2.08595	38.6	255
3002695	1	1260	536	1089	86.4286	63.6563	39.6	116
3001985	1	876	4	207	23.6301	0.684932	37.5	255
3001024	1	861	35	628	72.9384	6.09524	39.1	255
3002032	1	1146	88	920	80.2792	11.5175	39	249
3003172	1	1146	4	401	34.9913	0.52356	39.6	255
3002078	1	1146	76	920	80.2792	9.94764	39	248
3001175	1	861	12	379	44.0186	2.08595	38.6	255
3002727	1	681	36	459	67.4009	7.90455	39.6	255
3003097	1	996	3	271	27.2088	0.451807	40	255
3002019	1	1149	253	1108	96.4317	32.8799	39.4	253
3002467	1	861	8	222	25.784	1.39373	38.1	255
3002015	1	1143	88	920	80.4899	11.5477	39	255
3002751	1	645	107	476	73.7984	24.8837	39.6	255
3002376	1	900	20	850	94.4444	3.32444	39.8	217
3000958	1	861	35	628	72.9384	6.09524	39.1	255
3003095	1	768	123	637	82.9427	23.9492	39.1	229
3001967	1	861	140	633	73.5192	24.3879	39.5	248
3001874	1	846	134	615	72.695	23.7376	39.5	255
3002071	1	1146	74	920	80.2792	9.68586	38.9	234
3001984	1	876	4	207	23.6301	0.684932	37.5	255
3002098	1	1146	76	920	80.2792	9.94764	39	235
3000883	1	861	35	628	72.9384	6.09524	39.1	255
3001201	1	858	12	379	44.1725	2.09324	38.6	255
3000934	1	861	35	628	72.9384	6.09524	39.1	255
3002073	1	1146	88	920	80.2792	11.5175	39	255
3002641	1	816	44	742	90.9314	8.08333	39.2	255
3000888	1	861	35	628	72.9384	6.09524	39.1	255
3001350	1	861	12	379	44.0186	2.08595	38.6	255
3003005	1	966	26	574	59.4203	4.03623	39.9	177
3001804	1	798	261	748	93.7343	48.7444	39.4	255
3002111	1	1131	10	243	21.4854	1.32538	39.5	255
3002108	1	1146	82	920	80.2792	10.733	39	255
3001384	1	861	35	628	72.9384	6.09524	39.1	255
3001090	1	861	12	379	44.0186	2.08595	38.6	255
3001960	1	876	140	635	72.4886	23.9726	39.5	255
3002129	1	1146	74	920	80.2792	9.68586	38.9	255
3002046	1	1146	78	920	80.2792	10.2094	39	255
3001132	1	861	12	379	44.0186	2.08595	38.6	255
3001041	1	861	35	628	72.9384	6.09524	39.1	255
3002133	1	1140	2	203	17.807	0.263158	30	255
3001898	1	876	140	635	72.4886	23.9726	39.5	255
3001015	1	861	35	628	72.9384	6.09524	39.1	255
3001897	1	876	4	205	23.4018	0.684932	29.7	255
3002767	1	645	18	459	71.1628	4.18605	39.8	255
3002470	1	861	8	222	25.784	1.39373	38.1	255
3002346	1	864	335	830	96.0648	57.9977	39.4	255
3003553	1	1149	33	1063	92.5152	4.29591	39.8	255
3003167	1	876	4	207	23.6301	0.684932	37.5	255
3001032	1	861	35	628	72.9384	6.09524	39.1	255
3002390	1	876	20	417	47.6027	3.42466	39.8	255
3002062	1	1146	58	865	75.4799	7.59162	38.7	255
3003067	1	1404	12	236	16.8091	1.28205	38.3	255
3001425	1	831	6	660	79.4224	1.08303	39.9	255
3003155	1	873	12	379	43.4135	2.05727	38.6	255
3002738	1	681	36	459	67.4009	7.90455	39.6	255
3002409	1	867	5	257	29.6424	0.865052	39.9	255
3001065	1	780	12	368	47.1795	2.24615	38.6	255
3002715	1	645	18	459	71.1628	4.18605	39.8	255
3002739	1	681	18	459	67.4009	3.96476	39.8	255
3000873	1	861	35	628	72.9384	6.09524	39.1	255
3002757	1	645	109	476	73.7984	25.3488	39.6	255
3000975	1	861	35	628	72.9384	6.09524	39.1	255
3001021	1	861	35	628	72.9384	6.09524	39.1	255
3002096	1	1146	46	713	62.2164	6.02007	38.6	200
3000984	1	861	35	628	72.9384	6.09524	39.1	240
3001887	1	876	2	222	25.3425	0.342466	39.9	255
3001074	1	861	12	379	44.0186	2.08595	38.6	255
3001067	1	861	12	379	44.0186	2.08595	38.6	255
3002169	1	1146	20	842	73.4729	2.6082	39.6	230
3001079	1	780	12	368	47.1795	2.24615	38.6	255
3001216	1	1209	32	756	62.531	3.97022	38.6	255
3001391	1	861	35	628	72.9384	6.09524	39.1	255
3002005	1	876	4	207	23.6301	0.684932	37.5	255
3002790	1	657	67	615	93.6073	15.2633	39.7	255
3002774	1	645	107	476	73.7984	24.8837	39.6	255
3001797	1	801	84	492	61.4232	15.7079	39.7	252
3002458	1	861	8	222	25.784	1.39373	38.1	255
3000792	1	1248	14	1033	82.7724	1.67708	39.9	255
3002783	1	645	107	476	73.7984	24.8837	39.6	255
3002794	1	657	64	588	89.4977	14.583	39.2	255
3000937	1	861	35	628	72.9384	6.09524	39.1	255
3002181	1	1146	20	842	73.4729	2.6082	39.6	230
3001843	1	1146	6	369	32.199	0.722513	39	172
3002863	1	510	2	248	48.6275	0.588235	39.9	255
3000903	1	861	35	628	72.9384	6.09524	39.1	255
3001788	1	798	2	150	18.797	0.37594	39.7	255
3002720	1	681	109	476	69.8972	24.0088	39.6	255
3001864	1	876	140	635	72.4886	23.9726	39.5	255
3000874	1	861	35	628	72.9384	6.09524	39.1	255
3002162	1	1149	240	1104	96.0836	31.3046	39.3	221
3002147	1	1140	4	437	38.3333	0.526316	35	255
3001094	1	861	12	379	44.0186	2.08595	38.6	255
3001373	1	861	35	628	72.9384	6.09524	39.1	255
3002402	1	873	2	211	24.1695	0.343643	39.9	255
